,2017,2018
北京,89,86
天津,73,71
河北,609,604
山西,449,358
内蒙古,248,242
辽宁,288,280
吉林,274,260
黑龙江,237,229
上海,94,92
江苏,228,218
浙江,251,246
安徽,359,344
福建,184,180
江西,366,338
山东,401,398
河南,640,606
湖北,289,270
湖南,467,472
广东,459,444
广西,271,249
海南,79,74
重庆,132,132
四川,436,419
贵州,192,183
云南,374,376
西藏,11,11
陕西,245,234
甘肃,209,209
青海,39,38
宁夏,28,29
新疆,160,158
