,2017,2018
北京,252,351
天津,289,237
河北,2380,2654
山西,681,829
内蒙古,1091,1038
辽宁,723,716
吉林,844,682
黑龙江,1010,859
上海,497,534
江苏,3920,3902
浙江,2632,2558
安徽,3389,3441
福建,1771,2079
江西,1637,1599
山东,4778,5352
河南,3841,3803
湖北,2673,2367
湖南,1897,1843
广东,2723,2937
广西,1558,1526
海南,296,299
重庆,853,1025
四川,4658,4853
贵州,2670,2656
云南,3008,2993
西藏,864,835
陕西,1794,1602
甘肃,1913,2067
青海,475,536
宁夏,374,474
新疆,658,834
