,2017,2018
北京,13.5,13.5
天津,17.07,16.85
河北,44.99,43.57
山西,42.66,41.59
内蒙古,37.98,37.29
辽宁,32.51,31.9
吉林,43.35,42.47
黑龙江,40.6,39.9
上海,12.3,11.9
江苏,31.24,30.39
浙江,32,31.1
安徽,46.51,45.31
福建,35.2,34.18
江西,45.4,43.98
山东,39.42,38.82
河南,49.84,48.29
湖北,40.7,39.7
湖南,45.38,43.98
广东,30.15,29.3
广西,50.79,49.78
海南,41.96,40.94
重庆,35.92,34.5
四川,49.21,47.71
贵州,53.98,52.48
云南,53.31,52.19
西藏,69.11,68.86
陕西,43.21,41.87
甘肃,53.61,52.31
青海,46.93,45.53
宁夏,42.02,41.12
新疆,50.62,49.09
