,2017,2018
北京,21,21
天津,20,20
河北,161,162
山西,73,76
内蒙古,44,45
辽宁,75,79
吉林,50,50
黑龙江,73,72
上海,30,30
江苏,101,102
浙江,86,85
安徽,72,73
福建,71,72
江西,89,94
山东,147,149
河南,148,149
湖北,84,84
湖南,79,85
广东,133,135
广西,79,81
海南,7,11
重庆,36,38
四川,127,128
贵州,76,77
云南,64,65
西藏,5,5
陕西,58,65
甘肃,41,43
青海,16,15
宁夏,13,13
新疆,28,28
