,2017,2018
北京,304,309
天津,187,189
河北,630,655
山西,505,512
内蒙古,293,299
辽宁,418,414
吉林,244,248
黑龙江,371,366
上海,258,260
江苏,564,578
浙江,580,591
安徽,662,661
福建,534,538
江西,475,480
山东,592,620
河南,813,852
湖北,532,531
湖南,608,626
广东,1030,1013
广西,460,468
海南,116,119
重庆,255,256
四川,754,768
贵州,451,466
云南,509,519
西藏,34,34
陕西,473,471
甘肃,384,381
青海,101,105
宁夏,63,65
新疆,355,343
