,2017,2018
北京,1520,1442
天津,1614,1644
河北,13450,13852
山西,5221,5524
内蒙古,4466,4509
辽宁,6541,6378
吉林,4731,5147
黑龙江,6952,6760
上海,2238,2345
江苏,13433,14057
浙江,11975,11872
安徽,13465,12839
福建,8309,8177
江西,10917,10304
山东,18637,19162
河南,17886,17390
湖北,11070,10741
湖南,12956,13335
广东,17773,18224
广西,10502,10538
海南,1402,1262
重庆,7475,7426
四川,21122,21014
贵州,9012,9292
云南,13232,13080
西藏,871,881
陕西,7119,7092
甘肃,6216,6374
青海,1772,1533
宁夏,1343,1469
新疆,5187,5290
