,2017,2018
北京,3961,4098
天津,1800,1815
河北,2130,2624
山西,1629,1857
内蒙古,1506,1571
辽宁,2770,2682
吉林,1574,1478
黑龙江,1837,1782
上海,3323,3075
江苏,4152,3795
浙江,3317,3294
安徽,1768,2237
福建,2156,1854
江西,1010,1493
山东,3887,3971
河南,2115,2349
湖北,3854,3385
湖南,2423,2328
广东,4659,3997
广西,906,819
海南,469,624
重庆,1311,1450
四川,2182,3276
贵州,1245,1184
云南,1347,1494
西藏,88,110
陕西,2128,2784
甘肃,1277,1113
青海,259,323
宁夏,346,261
新疆,1231,1137
