,2017,2018
北京,984,970
天津,857,879
河北,11697,11545
山西,5646,5445
内蒙古,1658,1655
辽宁,3634,3280
吉林,4153,3871
黑龙江,1537,1469
上海,741,721
江苏,4075,4103
浙江,3286,3301
安徽,8108,7908
福建,5190,5189
江西,7760,7578
山东,9738,9674
河南,20372,18622
湖北,5378,5396
湖南,7757,7335
广东,10258,10308
广西,8454,8054
海南,1388,1377
重庆,2954,2893
四川,5721,5730
贵州,7113,6951
云南,11186,10900
西藏,806,809
陕西,4752,4714
甘肃,6172,5785
青海,758,731
宁夏,1353,1250
新疆,3523,3368
