,2017,2018
北京,1682,1508
天津,167,155
河北,136,161
山西,227,151
内蒙古,90,130
辽宁,314,229
吉林,117,152
黑龙江,103,97
上海,665,517
江苏,362,278
浙江,211,302
安徽,124,188
福建,174,158
江西,53,72
山东,364,385
河南,203,246
湖北,201,203
湖南,197,245
广东,278,236
广西,77,59
海南,8,10
重庆,128,142
四川,143,351
贵州,20,23
云南,54,70
西藏,3,2
陕西,117,164
甘肃,53,37
青海,9,13
宁夏,21,12
新疆,71,66
