,2017,2018
北京,2130,2302
天津,1488,1607
河北,7739,7502
山西,4814,4252
内蒙古,2798,2471
辽宁,4601,4570
吉林,3069,3024
黑龙江,3812,4102
上海,2790,2821
江苏,7716,8562
浙江,4980,5093
安徽,5259,5864
福建,3118,3197
江西,5034,4960
山东,8270,8381
河南,11110,9877
湖北,5946,6966
湖南,9702,8829
广东,14511,14688
广西,4034,3944
海南,858,869
重庆,3138,3279
四川,7078,6696
贵州,2431,2354
云南,3514,2983
西藏,117,138
陕西,3952,4060
甘肃,2452,2402
青海,365,395
宁夏,727,660
新疆,1864,1904
