,2017,2018
北京,345,335
天津,338,347
河北,2375,2367
山西,1835,1787
内蒙古,683,691
辽宁,1522,1522
吉林,1172,1175
黑龙江,1429,1418
上海,560,573
江苏,2148,2187
浙江,1735,1742
安徽,2810,2833
福建,1240,1246
江西,2140,2160
山东,2968,3051
河南,4515,4519
湖北,2041,2066
湖南,3304,3331
广东,3536,3614
广西,1757,1743
海南,397,401
重庆,863,866
四川,3722,3716
贵州,2048,2002
云南,1668,1679
西藏,98,99
陕西,1621,1601
甘肃,1468,1467
青海,270,265
宁夏,247,244
新疆,1039,935
