,2017,2018
北京,92,92
天津,57,56
河北,121,122
山西,80,83
内蒙古,53,53
辽宁,115,115
吉林,62,62
黑龙江,81,81
上海,64,64
江苏,167,167
浙江,107,108
安徽,119,119
福建,89,89
江西,100,102
山东,145,145
河南,134,139
湖北,129,128
湖南,124,124
广东,151,152
广西,74,75
海南,19,20
重庆,65,65
四川,109,119
贵州,70,72
云南,77,79
西藏,7,7
陕西,93,95
甘肃,49,49
青海,12,12
宁夏,19,19
新疆,47,50
