,2017,2018
北京,16734,16691
天津,12142,12223
河北,57431,57391
山西,28628,28597
内蒙古,19590,19630
辽宁,34534,34381
吉林,21350,21211
黑龙江,30260,29914
上海,18860,18895
江苏,62123,62186
浙江,43977,44089
安徽,47418,47823
福建,29305,29725
江西,35029,35213
山东,76033,75785
河南,72645,72177
湖北,45344,45347
湖南,52384,52016
广东,84724,86007
广西,36659,36719
海南,7005,7051
重庆,23701,23659
四川,64419,63872
贵州,26997,26757
云南,36543,36584
西藏,2508,2537
陕西,29461,29664
甘肃,20151,19988
青海,4514,4520
宁夏,5211,5168
新疆,18080,18375
