,2017,2018
北京,3768,3452
天津,3949,4160
河北,25999,24788
山西,12353,12146
内蒙古,7038,6996
辽宁,15209,15482
吉林,8754,8813
黑龙江,13455,13118
上海,5674,5958
江苏,23092,23106
浙江,15863,16079
安徽,19196,18258
福建,10165,10642
江西,13316,13705
山东,29957,29000
河南,31332,31821
湖北,16182,15744
湖南,19232,19775
广东,32421,33986
广西,16127,16124
海南,3140,2997
重庆,8111,7471
四川,22131,20501
贵州,9478,9112
云南,12311,12369
西藏,415,458
陕西,11026,10720
甘肃,6066,5921
青海,1248,1259
宁夏,1769,1700
新疆,6093,6203
