,2017,2018
北京,2324,2515
天津,1536,1488
河北,3470,3642
山西,2416,2437
内蒙古,1955,2093
辽宁,2904,2813
吉林,1473,1251
黑龙江,2109,2276
上海,2430,2397
江苏,6225,5208
浙江,3322,3409
安徽,2623,3442
福建,2088,1953
江西,1891,1925
山东,5833,5344
河南,3972,4171
湖北,3291,3470
湖南,3568,3606
广东,6955,6439
广西,1823,1718
海南,442,540
重庆,1796,2002
四川,4561,4625
贵州,1319,1281
云南,1708,2071
西藏,119,91
陕西,2257,2220
甘肃,1471,1367
青海,258,316
宁夏,452,407
新疆,1968,1963
